Paper Title,Number_of_Hallmarks,Total_Score,Primary_Hallmark,Primary_Hallmark_Score,Is_Aging_Related
"SIRT6 is a DNA double-strand break sensor",2,3.379250,"genome instability",2.675569,Yes
"Anti-Inflammatory Properties of Sirtuin 6 in Human Umbilical Vein Endothelial Cells",2,0.833924,"intercellular communication",0.429374,Yes
"Sequential Actions of SIRT1-RELB-SIRT3 Coordinate Nuclear-Mitochondrial Communication during Immunometabolic Adaptation to Acute Inflammation and Sepsis",2,1.694383,"epigenetic alterations",0.993311,Yes
"Fat-Specific Sirt6 Ablation Sensitizes Mice to High-Fat Diet–Induced Obesity and Insulin Resistance by Inhibiting Lipolysis",0,0.000000,"None",0.000000,No
"Functional dissection of SIRT6: Identification of domains that regulate histone deacetylase activity and chromatin localization",2,5.299980,"epigenetic alterations",4.443399,Yes
"A miR-34a-SIRT6 axis in the squamous cell differentiation network",1,0.759079,"epigenetic alterations",0.759079,Yes
"Sirt6 overexpression suppresses senescence and apoptosis of nucleus pulposus cells by inducing autophagy in a model of intervertebral disc degeneration",3,2.454076,"disabled macroautophagy",0.904699,Yes
"SIRT5 is under the control of PGC‐1α and AMPK and is involved in regulation of mitochondrial energy metabolism",2,2.639296,"epigenetic alterations",1.774464,Yes
"Overexpression of Sirtuin 6 suppresses cellular senescence and NF-κB mediated inflammatory responses in osteoarthritis development",3,3.351371,"epigenetic alterations",1.589730,Yes
"SIRT6 Controls Hematopoietic Stem Cell Homeostasis through Epigenetic Regulation of Wnt Signaling",2,3.790106,"epigenetic alterations",2.688375,Yes
"Sirtuins and Insulin Resistance",3,2.600153,"epigenetic alterations",1.749965,Yes
"“Cell Membrane Theory of Senescence” and the Role of Bioactive Lipids in Aging, and Aging Associated Diseases and Their Therapeutic Implications",0,0.000000,"None",0.000000,No
"SIRT6 protects vascular smooth muscle cells from osteogenic transdifferentiation via Runx2 in chronic kidney disease",2,2.203173,"epigenetic alterations",1.997722,Yes
"Rapamycin preserves the follicle pool reserve and prolongs the ovarian lifespan of female rats via modulating mTOR activation and sirtuin expression",1,0.529141,"epigenetic alterations",0.529141,Yes
"Molecular markers of endometrial carcinoma detected in uterine aspirates",0,0.000000,"None",0.000000,No
"The Role of SIRT6 Protein in Aging and Reprogramming of Human Induced Pluripotent Stem Cells",4,4.367976,"epigenetic alterations",1.904690,Yes
"A novel SIRT6 activator ameliorates neuroinflammation and ischemic brain injury via EZH2/FOXC1 axis",1,0.535573,"chronic inflammation",0.535573,Yes
"The Role of Sirt6 in Obesity and Diabetes",1,1.594028,"epigenetic alterations",1.594028,Yes
"MicroRNAs in Metabolism and Metabolic Diseases",1,0.236585,"deregulated nutrient sensing",0.236585,Yes
"The epigenetic regulator SIRT6 protects the liver from alcohol-induced tissue injury by reducing oxidative stress in mice",2,2.275677,"epigenetic alterations",1.423911,Yes
"Discovery of cryptic allosteric sites using reversed allosteric communication by a combined computational and experimental strategy",1,0.153080,"genome instability",0.153080,Yes
"Inhibition of SIRT6 in prostate cancer reduces cell viability and increases sensitivity to chemotherapeutics",2,2.093472,"epigenetic alterations",1.085416,Yes
"JNK Phosphorylates SIRT6 to Stimulate DNA Double-Strand Break Repair in Response to Oxidative Stress by Recruiting PARP1 to DNA Breaks",3,4.794726,"genome instability",2.356486,Yes
"Dynamic Regulation of ME1 Phosphorylation and Acetylation Affects Lipid Metabolism and Colorectal Tumorigenesis",1,0.627725,"epigenetic alterations",0.627725,Yes
"Evidence for a role of the histone deacetylase SIRT6 in DNA damage response of multiple myeloma cells",2,3.154735,"epigenetic alterations",2.149155,Yes
"Ergothioneine oxidation in the protection against high-glucose induced endothelial senescence: Involvement of SIRT1 and SIRT6",3,3.420914,"epigenetic alterations",2.133800,Yes
"Sirt6 attenuates chondrocyte senescence and osteoarthritis progression",2,1.880883,"cellular senescence",1.254656,Yes
"Nicotine promotes neuron survival and partially protects from Parkinson’s disease by suppressing SIRT6",0,0.000000,"None",0.000000,No
"HDAC turnover, CtIP acetylation and dysregulated DNA damage signaling in colon cancer cells treated with sulforaphane and related dietary isothiocyanates",3,2.896764,"genome instability",1.339197,Yes
"Fructus Ligustri Lucidi preserves bone quality through the regulation of gut microbiota diversity, oxidative stress, TMAO and Sirt6 levels in aging mice",1,0.729344,"mitochondrial dysfunction",0.729344,Yes
"Targeted inhibition of SIRT6 via engineered exosomes impairs tumorigenesis and metastasis in prostate cancer",0,0.000000,"None",0.000000,No
"MDM2-mediated degradation of SIRT6 phosphorylated by AKT1 promotes tumorigenesis and trastuzumab resistance in breast cancer",0,0.000000,"None",0.000000,No
"Discovery of Novel and Selective SIRT6 Inhibitors",3,4.519404,"epigenetic alterations",3.965967,Yes
"Neuroprotective effects of <scp>PPAR</scp>‐γ agonist rosiglitazone in N171‐82Q mouse model of Huntington's disease",0,0.000000,"None",0.000000,No
"Melatonin inhibits ferroptosis and delays age-related cataract by regulating SIRT6/p-Nrf2/GPX4 and SIRT6/NCOA4/FTH1 pathways",2,1.451770,"epigenetic alterations",0.757042,Yes
"SIRT6 rescues the age related decline in base excision repair in a PARP1-dependent manner",2,2.900429,"genome instability",1.750039,Yes
"Myeloid Sirtuin 6 Deficiency Causes Insulin Resistance in High-Fat Diet–Fed Mice by Eliciting Macrophage Polarization Toward an M1 Phenotype",3,1.322002,"chronic inflammation",0.516985,Yes
"Ubiquitin‐Specific Peptidase 10 (USP10) Inhibits Hepatic Steatosis, Insulin Resistance, and Inflammation Through Sirt6",3,1.669726,"loss of proteostasis",0.679970,Yes
"SIRT6 as a key event linking P53 and NRF2 counteracts APAP-induced hepatotoxicity through inhibiting oxidative stress and promoting hepatocyte proliferation",3,2.459516,"epigenetic alterations",1.203220,Yes
"Oxidative Stress Induces Endothelial Cell Senescence via Downregulation of Sirt6",4,2.822434,"cellular senescence",0.867851,Yes
"Overexpression of Sirtuin 6 Suppresses Inflammatory Responses and Bone Destruction in Mice With Collagen‐Induced Arthritis",2,1.009556,"epigenetic alterations",0.608804,Yes
"SIRT6 Overexpression Potentiates Apoptosis Evasion in Hepatocellular Carcinoma via BCL2-Associated X Protein–Dependent Apoptotic Pathway",0,0.000000,"None",0.000000,No
"SIRT6 in Aging, Metabolism, Inflammation and Cardiovascular Diseases",4,4.026577,"genome instability",1.427329,Yes
"SIRT6 protects against endothelial dysfunction and atherosclerosis in mice",2,2.042748,"epigenetic alterations",1.499981,Yes
"Activation of retinoid X receptor by bexarotene attenuates neuroinflammation via PPARγ/SIRT6/FoxO3a pathway after subarachnoid hemorrhage in rats",1,0.142472,"chronic inflammation",0.142472,Yes
"Integration of Hi-C and ChIP-seq data reveals distinct types of chromatin linkages",1,1.620205,"epigenetic alterations",1.620205,Yes
"SIRT6 Promotes COX-2 Expression and Acts as an Oncogene in Skin Cancer",1,0.763134,"epigenetic alterations",0.763134,Yes
"Deletion of Hepatic FoxO1/3/4 Genes in Mice Significantly Impacts on Glucose Metabolism through Downregulation of Gluconeogenesis and Upregulation of Glycolysis",2,1.675591,"epigenetic alterations",0.914780,Yes
"A Focused DNA-Encoded Chemical Library for the Discovery of Inhibitors of NAD<sup>+</sup>-Dependent Enzymes",1,0.713547,"genome instability",0.713547,Yes
"Overexpression of Sirt6 promotes M2�macrophage transformation, alleviating renal injury in diabetic nephropathy",1,0.810939,"epigenetic alterations",0.810939,Yes
"Calorie restriction-induced SIRT6 activation delays aging by suppressing NF-κB signaling",3,4.380105,"epigenetic alterations",2.527872,Yes
"Multiple pathways of SIRT6 at the crossroads in the control of longevity, cancer, and cardiovascular diseases",3,3.540453,"epigenetic alterations",2.430704,Yes
"ATM and SIRT6/SNF2H Mediate Transient H2AX Stabilization When DSBs Form by Blocking HUWE1 to Allow Efficient γH2AX Foci Formation",3,2.835337,"epigenetic alterations",1.309283,Yes
"Dynamic Chromatin Localization of Sirt6 Shapes Stress- and Aging-Related Transcriptional Networks",2,4.021439,"epigenetic alterations",3.585951,Yes
"Pharmacological activation of SIRT6 triggers lethal autophagy in human cancer cells",3,2.860522,"epigenetic alterations",1.654913,Yes
"Pericoronary fat inflammation and Major Adverse Cardiac Events (MACE) in prediabetic patients with acute myocardial infarction: effects of metformin",2,0.573205,"chronic inflammation",0.503488,Yes
"Sodium-glucose co-transporter2 expression and inflammatory activity in diabetic atherosclerotic plaques: Effects of sodium-glucose co-transporter2 inhibitor treatment",2,1.025581,"mitochondrial dysfunction",0.595690,Yes
"Investigating the Sensitivity of NAD+-dependent Sirtuin Deacylation Activities to NADH",1,0.768001,"epigenetic alterations",0.768001,Yes
"Reprogramming metabolism by targeting sirtuin 6 attenuates retinal degeneration",2,0.504559,"epigenetic alterations",0.410496,Yes
"SIRT6 suppresses isoproterenol-induced cardiac hypertrophy through activation of autophagy",2,2.319721,"epigenetic alterations",1.350091,Yes
"Assessing sirtuin expression in endometrial carcinoma and non-neoplastic endometrium",1,1.134407,"epigenetic alterations",1.134407,Yes
"Epigenetic mechanisms underlying cognitive impairment and Alzheimer disease hallmarks in 5XFAD mice",1,2.214580,"epigenetic alterations",2.214580,Yes
"Targeting the BRD4/FOXO3a/CDK6 axis sensitizes AKT inhibition in luminal breast cancer",1,0.940975,"epigenetic alterations",0.940975,Yes
"SIRT6 in mouse spermatogenesis is modulated by diet-induced obesity",2,1.781073,"epigenetic alterations",1.077451,Yes
"Signaling networks in aging",1,0.416078,"deregulated nutrient sensing",0.416078,Yes
"Depletion of SIRT6 causes cellular senescence, DNA damage, and telomere dysfunction in human chondrocytes",4,3.456754,"epigenetic alterations",1.420761,Yes
"Acute Exercise Leads to Regulation of Telomere-Associated Genes and MicroRNA Expression in Immune Cells",1,1.680097,"telomere attrition",1.680097,Yes
"Cyclosporine modulates neutrophil functions via the SIRT6–HIF‐1α–glycolysis axis to alleviate severe ulcerative colitis",2,0.347226,"chronic inflammation",0.200229,Yes
"Age-dependent changes in 8-oxoguanine-DNA glycosylase activity are modulated by adaptive responses to physical exercise in human skeletal muscle",3,2.917078,"genome instability",1.319750,Yes
"SIRT6 Regulates Osteogenic Differentiation of Rat Bone Marrow Mesenchymal Stem Cells Partially via Suppressing the Nuclear Factor-κB Signaling Pathway",1,0.560988,"stem cell exhaustion",0.560988,Yes
"Sirtuin 6 protects cardiomyocytes from hypertrophy <i>in vitro</i> via inhibition of NF‐κB‐dependent transcriptional activity",2,1.026505,"epigenetic alterations",0.609865,Yes
"High glucose‐induced oxidative stress represses sirtuin deacetylase expression and increases histone acetylation leading to neural tube defects",2,4.643893,"epigenetic alterations",4.123593,Yes
"Upregulation of SIRT6 predicts poor prognosis and promotes metastasis of non-small cell lung cancer via the ERK1/2/MMP9 pathway",0,0.000000,"None",0.000000,No
"SIRT6 haploinsufficiency induces BRAFV600E melanoma cell resistance to MAPK inhibitors via IGF signalling",0,0.000000,"None",0.000000,No
"Endothelial SIRT6 blunts stroke size and neurological deficit by preserving blood–brain barrier integrity: a translational study",1,1.075920,"epigenetic alterations",1.075920,Yes
"The complex role of SIRT6 in carcinogenesis",3,2.714532,"epigenetic alterations",1.296093,Yes
"A Chemical Biology Approach to Reveal Sirt6-targeted Histone H3 Sites in Nucleosomes",1,2.775161,"epigenetic alterations",2.775161,Yes
"Overexpressed SIRT6 attenuates cisplatin-induced acute kidney injury by inhibiting ERK1/2 signaling",3,3.788861,"epigenetic alterations",2.624355,Yes
"AMPK/Snf1 signaling regulates histone acetylation: Impact on gene expression and epigenetic functions",2,1.706434,"epigenetic alterations",1.073999,Yes
"Sirtuin 6: linking longevity with genome and epigenome stability",1,0.837091,"epigenetic alterations",0.837091,Yes
"Sirtuin 6 protects the heart from hypoxic damage",3,1.036203,"epigenetic alterations",0.512228,Yes
"Hepatocyte‐specific sirtuin 6 deletion predisposes to nonalcoholic steatohepatitis by up‐regulation of Bach1, an Nrf2 repressor",3,2.393303,"epigenetic alterations",1.313794,Yes
"Nmnat2 protects cardiomyocytes from hypertrophy via activation of SIRT6",0,0.000000,"None",0.000000,No
"A Comprehensive Analysis into the Therapeutic Application of Natural Products as SIRT6 Modulators in Alzheimer’s Disease, Aging, Cancer, Inflammation, and Diabetes",2,1.423615,"epigenetic alterations",0.721880,Yes
"Histone Deacetylase in Chronic Lymphocytic Leukemia",1,1.187707,"epigenetic alterations",1.187707,Yes
"p53-dependent SIRT6 expression protects Aβ42-induced DNA damage",2,4.464722,"epigenetic alterations",2.243700,Yes
"The nuclear and mitochondrial sirtuins, Sirt6 and Sirt3, regulate each other's activity and protect the heart from developing obesity‐mediated diabetic cardiomyopathy",1,2.421983,"epigenetic alterations",2.421983,Yes
"SIRT6 Promotes Hepatic Beta-Oxidation via Activation of PPARα",1,1.382669,"epigenetic alterations",1.382669,Yes
